gameId;strategy;wins;losses
216;CallingRulesWithUctMonteCarloStrategy;2073;1767
217;CallingRulesWithRandomPlay;1780;2092
217;CallingRulesWithUctMonteCarloStrategy;2092;1780
218;CallingRulesWithRandomPlay;1796;2108
218;CallingRulesWithUctMonteCarloStrategy;2108;1796
219;CallingRulesWithRandomPlay;1796;2108
219;CallingRulesWithUctMonteCarloStrategy;2108;1796
220;CallingRulesWithRandomPlay;1812;2124
220;CallingRulesWithUctMonteCarloStrategy;2124;1812
221;CallingRulesWithRandomPlay;1812;2124
221;CallingRulesWithUctMonteCarloStrategy;2124;1812
222;CallingRulesWithRandomPlay;1812;2124
222;CallingRulesWithUctMonteCarloStrategy;2124;1812
223;CallingRulesWithRandomPlay;1812;2124
223;CallingRulesWithUctMonteCarloStrategy;2124;1812
224;CallingRulesWithRandomPlay;1826;2142
224;CallingRulesWithUctMonteCarloStrategy;2142;1826
225;CallingRulesWithRandomPlay;1843;2157
225;CallingRulesWithUctMonteCarloStrategy;2157;1843
226;CallingRulesWithRandomPlay;1856;2176
226;CallingRulesWithUctMonteCarloStrategy;2176;1856
227;CallingRulesWithRandomPlay;1871;2193
227;CallingRulesWithUctMonteCarloStrategy;2193;1871
228;CallingRulesWithRandomPlay;1871;2193
228;CallingRulesWithUctMonteCarloStrategy;2193;1871
229;CallingRulesWithRandomPlay;1885;2211
229;CallingRulesWithUctMonteCarloStrategy;2211;1885
230;CallingRulesWithRandomPlay;1900;2228
230;CallingRulesWithUctMonteCarloStrategy;2228;1900
231;CallingRulesWithRandomPlay;1900;2228
231;CallingRulesWithUctMonteCarloStrategy;2228;1900
232;CallingRulesWithRandomPlay;1900;2228
232;CallingRulesWithUctMonteCarloStrategy;2228;1900
233;CallingRulesWithRandomPlay;1900;2228
233;CallingRulesWithUctMonteCarloStrategy;2228;1900
234;CallingRulesWithRandomPlay;1916;2244
234;CallingRulesWithUctMonteCarloStrategy;2244;1916
235;CallingRulesWithRandomPlay;1916;2244
235;CallingRulesWithUctMonteCarloStrategy;2244;1916
236;CallingRulesWithRandomPlay;1916;2244
236;CallingRulesWithUctMonteCarloStrategy;2244;1916
237;CallingRulesWithRandomPlay;1916;2244
237;CallingRulesWithUctMonteCarloStrategy;2244;1916
238;CallingRulesWithRandomPlay;1930;2262
238;CallingRulesWithUctMonteCarloStrategy;2262;1930
239;CallingRulesWithRandomPlay;1930;2262
239;CallingRulesWithUctMonteCarloStrategy;2262;1930
240;CallingRulesWithRandomPlay;1930;2262
240;CallingRulesWithUctMonteCarloStrategy;2262;1930
241;CallingRulesWithRandomPlay;1930;2262
241;CallingRulesWithUctMonteCarloStrategy;2262;1930
242;CallingRulesWithRandomPlay;1946;2278
242;CallingRulesWithUctMonteCarloStrategy;2278;1946
243;CallingRulesWithRandomPlay;1962;2294
243;CallingRulesWithUctMonteCarloStrategy;2294;1962
244;CallingRulesWithRandomPlay;1962;2294
244;CallingRulesWithUctMonteCarloStrategy;2294;1962
245;CallingRulesWithRandomPlay;1962;2294
245;CallingRulesWithUctMonteCarloStrategy;2294;1962
246;CallingRulesWithRandomPlay;1962;2294
246;CallingRulesWithUctMonteCarloStrategy;2294;1962
247;CallingRulesWithRandomPlay;1962;2294
247;CallingRulesWithUctMonteCarloStrategy;2294;1962
248;CallingRulesWithRandomPlay;1976;2312
248;CallingRulesWithUctMonteCarloStrategy;2312;1976
249;CallingRulesWithRandomPlay;1989;2331
249;CallingRulesWithUctMonteCarloStrategy;2331;1989
250;CallingRulesWithRandomPlay;1989;2331
250;CallingRulesWithUctMonteCarloStrategy;2331;1989
251;CallingRulesWithRandomPlay;1989;2331
251;CallingRulesWithUctMonteCarloStrategy;2331;1989
252;CallingRulesWithRandomPlay;1989;2331
252;CallingRulesWithUctMonteCarloStrategy;2331;1989
253;CallingRulesWithRandomPlay;1989;2331
253;CallingRulesWithUctMonteCarloStrategy;2331;1989
254;CallingRulesWithRandomPlay;2004;2348
254;CallingRulesWithUctMonteCarloStrategy;2348;2004
255;CallingRulesWithRandomPlay;2019;2365
255;CallingRulesWithUctMonteCarloStrategy;2365;2019
256;CallingRulesWithRandomPlay;2034;2382
256;CallingRulesWithUctMonteCarloStrategy;2382;2034
257;CallingRulesWithRandomPlay;2034;2382
